基金代码,交易日期,申购金额,赎回金额,申赎1曝光,申赎2曝光,申赎3曝光,基金类型,风险等级,主要投资行业,投资风格,流动性等级,星期-申购,星期-赎回,节假日,百度指数-申购,情绪热度,发薪收盘
1338,20240408,9865.15,10574.55,6591.52,3251.54,7995.19,混合型,中等,"科技-30%,医疗健康-25%,新能源-20%",成长型,高,0.18,0.18,1.0,3374.0,2236475.85,12355.01
161024,20240408,8890.25,6790.27,11913.74,2401.0,29214.82,混合型,中等,"金融-30%,科技-25%,消费-20%,医疗-15%,其他-10%",平衡型,高,0.2,0.18,1.0,3374.0,451017.39,2517.67
1316,20240408,12095.47,7611.06,8274.23,3206.33,8799.1,混合型,中等,"医药生物-20%,电子-15%,计算机-10%",成长型,高,0.18,0.2,1.0,1681.0,3163001.35,17483.39
160717,20240408,1589.46,1666.84,3305.93,2401.0,3361.74,混合型,中等,"金融-30%,科技-25%,消费-20%,医疗-15%",平衡型,高,0.16,0.17,1.0,276.0,13200065.1,3389.71
161028,20240409,34412.22,43296.05,79046.84,2401.0,148191.14,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.24,0.18,1.0,38837.0,351482.26,2512.57
402,20240409,13736.28,1827.02,3670.45,2597.39,3854.83,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.19,0.19,1.0,322.0,6015815.01,4602.26
1480,20240409,3577.59,3415.66,10493.11,2401.0,24350.37,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.19,0.19,1.0,3417.0,6015815.01,4602.26
50027,20240409,60175.82,10190.31,18048.34,5601.11,14345.26,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.2,0.22,1.0,1502.0,1256751.89,3143.94
164906,20240409,6801.16,22104.09,55183.05,2401.0,65019.33,混合型,中等,"医药生物-20%,电子-15%",平衡型,高,0.2,0.23,1.0,3417.0,1714723.51,6705.18
100050,20240409,5290.45,2323.87,3518.57,2574.07,3698.71,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.16,0.17,1.0,3417.0,1256751.88,3143.94
86,20240409,9535.62,1349.98,11419.94,6192.39,8860.56,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.18,0.19,1.0,305.0,1256751.89,3143.94
1016,20240409,2114.09,3830.01,5942.31,2401.0,6762.48,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.2,0.18,1.0,38837.0,5731546.51,2404.71
530028,20240409,71282.34,36772.55,17335.56,5910.53,11500.48,混合型,中等,"金融-30%,信息技术-20%,医疗保健-15%",平衡型,高,0.22,0.23,1.0,1502.0,1256751.89,3143.94
1407,20240409,1349.98,1370.97,2420.78,2403.12,2444.8,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.17,0.15,1.0,305.0,6015815.05,4602.26
965,20240409,1555.16,2432.78,2621.4,2401.0,3039.61,混合型,中等,"金融-30%,科技-25%",平衡型,高,0.17,0.17,1.0,305.0,6015815.01,4602.26
385,20240409,4228.69,3242.14,2692.05,2434.91,2992.99,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.18,0.17,1.0,322.0,34783468.1,3048.64
192,20240409,25622.53,5916.05,4739.98,2713.95,5194.21,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.22,0.22,1.0,366.0,1256751.89,3143.94
164402,20240409,6061.31,4908.19,20133.01,2401.0,54201.83,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.19,0.19,1.0,322.0,351482.26,2512.66
168204,20240409,6756.62,8105.17,17697.25,2401.0,54656.76,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.21,0.22,1.0,1502.0,1256751.89,3143.94
166016,20240409,14250.75,1513.02,2515.44,2417.25,2721.72,混合型,中等,"金融-30%,信息技术-20%,医疗保健-15%",平衡型,高,0.18,0.21,1.0,1502.0,351482.35,2512.66
1338,20240409,9839.24,11210.34,7598.18,3467.7,8455.07,混合型,中等,"科技-30%,医疗健康-25%,新能源-20%",成长型,高,0.2,0.2,1.0,3417.0,1048236.22,12344.62
161024,20240409,4825.7,6143.67,14158.76,2401.0,30146.6,混合型,中等,"金融-30%,科技-25%,消费-20%,医疗-15%,其他-10%",平衡型,高,0.22,0.19,1.0,3417.0,351482.26,2512.66
1316,20240409,8326.49,8970.82,9901.83,3485.36,9186.93,混合型,中等,"医药生物-20%,电子-15%,计算机-10%",成长型,高,0.19,0.18,1.0,1502.0,1747069.85,17442.14
160717,20240409,1444.82,1708.16,3436.62,2401.0,3409.78,混合型,中等,"金融-30%,科技-25%,消费-20%,医疗-15%",平衡型,高,0.18,0.19,1.0,263.0,10767846.1,3383.72
161028,20240410,40836.85,25487.1,76830.07,2401.0,135498.77,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.16,0.22,1.0,47435.0,540169.26,2427.59
402,20240410,5256.72,1644.57,3654.91,2591.74,3799.02,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.17,0.19,1.0,324.0,6372774.51,4482.72
1480,20240410,5634.84,8313.7,9662.36,2401.0,22282.66,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.19,0.21,1.0,2993.0,6372774.51,4482.72
50027,20240410,53587.55,12115.97,17322.84,5385.65,13943.3,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.19,0.18,1.0,1797.0,1406158.51,3177.87
164906,20240410,7890.44,83628.22,53942.57,2401.0,62375.18,混合型,中等,"医药生物-20%,电子-15%",平衡型,高,0.18,0.18,1.0,2993.0,1310680.63,6581.65
100050,20240410,4788.83,3253.61,3503.73,2564.89,3683.87,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.16,0.17,1.0,2993.0,1406158.5,3177.87
86,20240410,12451.83,1349.98,10868.93,5884.39,8577.28,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.17,0.18,1.0,329.0,1406158.51,3177.87
1016,20240410,2266.56,2529.77,5684.47,2401.0,6376.77,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.17,0.21,1.0,47435.0,5870288.01,2396.84
530028,20240410,69588.42,24035.17,15616.82,5488.08,11073.8,混合型,中等,"金融-30%,信息技术-20%,医疗保健-15%",平衡型,高,0.18,0.19,1.0,1797.0,1406158.51,3177.87
1407,20240410,1360.92,1402.76,2421.49,2401.71,2435.61,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.17,0.19,1.0,329.0,6372774.55,4482.72
965,20240410,1582.34,1746.69,2610.1,2401.0,2985.92,混合型,中等,"金融-30%,科技-25%",平衡型,高,0.16,0.17,1.0,329.0,6372774.51,4482.72
385,20240410,10876.43,3121.39,2664.5,2427.84,2942.83,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.17,0.15,1.0,324.0,36471784.1,3027.43
192,20240410,33753.71,2865.74,4622.0,2682.16,5141.93,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.19,0.17,1.0,392.0,1406158.51,3177.87
164402,20240410,9832.87,7384.13,18788.68,2401.0,49995.06,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.17,0.21,1.0,324.0,540169.26,2427.68
168204,20240410,16849.98,23889.54,17263.5,2401.0,53752.54,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.18,0.21,1.0,1797.0,1406158.51,3177.87
166016,20240410,11964.99,1350.53,2535.93,2423.61,2716.77,混合型,中等,"金融-30%,信息技术-20%,医疗保健-15%",平衡型,高,0.21,0.21,1.0,1797.0,540169.35,2427.68
1338,20240410,7823.45,7119.27,7263.33,3391.41,8005.79,混合型,中等,"科技-30%,医疗健康-25%,新能源-20%",成长型,高,0.19,0.19,1.0,2993.0,1196300.98,12154.44
161024,20240410,7716.46,5236.46,13325.18,2401.0,27871.91,混合型,中等,"金融-30%,科技-25%,消费-20%,医疗-15%,其他-10%",平衡型,高,0.16,0.2,1.0,2993.0,540169.26,2427.68
1316,20240410,13470.42,6128.27,9447.6,3380.81,8836.54,混合型,中等,"医药生物-20%,电子-15%,计算机-10%",成长型,高,0.17,0.18,1.0,1797.0,1796729.1,17232.61
160717,20240410,1601.38,3139.58,3462.76,2401.0,3399.89,混合型,中等,"金融-30%,科技-25%,消费-20%,医疗-15%",平衡型,高,0.17,0.16,1.0,257.0,10588798.1,3356.54
161028,20240411,25044.24,22050.5,67312.39,2401.0,131038.4,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.14,0.17,1.0,42197.0,404888.54,2417.75
402,20240411,4303.35,1837.95,3544.0,2576.9,3781.36,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.16,0.15,1.0,307.0,6836110.51,4483.19
1480,20240411,2903.37,4794.43,9263.22,2401.0,22068.61,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.19,0.18,1.0,3311.0,6836110.51,4483.19
50027,20240411,38014.67,12678.07,16593.81,5036.68,13497.54,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.17,0.14,1.0,1614.0,1364070.76,3200.4
164906,20240411,9530.19,31441.16,53544.85,2401.0,61939.31,混合型,中等,"医药生物-20%,电子-15%",平衡型,高,0.19,0.18,1.0,3311.0,1498581.26,6516.11
100050,20240411,4666.92,6460.66,3501.61,2562.77,3706.48,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.22,0.16,1.0,3311.0,1364070.75,3200.4
86,20240411,8479.12,1349.98,10417.53,5585.57,8387.96,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.16,0.16,1.0,298.0,1364070.76,3200.4
1016,20240411,2103.13,4654.92,5490.2,2401.0,6205.11,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.17,0.16,1.0,42197.0,5631302.01,2394.97
530028,20240411,43251.9,29294.15,14605.93,5014.07,10816.66,混合型,中等,"金融-30%,信息技术-20%,医疗保健-15%",平衡型,高,0.17,0.17,1.0,1614.0,1364070.76,3200.4
1407,20240411,1350.44,1381.09,2419.37,2401.71,2436.32,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.18,0.17,1.0,298.0,6836110.55,4483.19
965,20240411,1510.8,1864.59,2586.08,2401.0,2979.56,混合型,中等,"金融-30%,科技-25%",平衡型,高,0.18,0.16,1.0,298.0,6836110.51,4483.19
385,20240411,3280.65,6538.34,2646.84,2428.55,2973.21,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.17,0.15,1.0,307.0,36414784.1,3034.35
192,20240411,13615.33,3162.64,4537.94,2658.14,5022.55,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.16,0.14,1.0,375.0,1364070.76,3200.4
164402,20240411,6398.1,6853.56,17638.61,2401.0,49172.78,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.17,0.17,1.0,307.0,404888.54,2417.84
168204,20240411,32051.91,22580.5,17394.19,2401.0,52542.43,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.18,0.18,1.0,1614.0,1364070.76,3200.4
166016,20240411,10143.19,1500.87,2550.06,2424.31,2766.93,混合型,中等,"金融-30%,信息技术-20%,医疗保健-15%",平衡型,高,0.19,0.16,1.0,1614.0,404888.63,2417.84
1338,20240411,8596.48,7076.48,7109.33,3288.98,7914.66,混合型,中等,"科技-30%,医疗健康-25%,新能源-20%",成长型,高,0.17,0.18,1.0,3311.0,1036239.35,12139.42
161024,20240411,6193.14,4860.04,12596.85,2401.0,27626.78,混合型,中等,"金融-30%,科技-25%,消费-20%,医疗-15%,其他-10%",平衡型,高,0.17,0.18,1.0,3311.0,404888.54,2417.84
1316,20240411,10019.25,10098.54,9116.99,3296.75,8822.41,混合型,中等,"医药生物-20%,电子-15%,计算机-10%",成长型,高,0.2,0.17,1.0,1614.0,1706133.22,17161.34
160717,20240411,1768.08,1498.17,3406.95,2401.0,3406.24,混合型,中等,"金融-30%,科技-25%,消费-20%,医疗-15%",平衡型,高,0.16,0.18,1.0,271.0,10490436.1,3352.78
161028,20240412,45125.52,32418.33,62418.98,2401.0,122002.5,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.19,0.2,1.0,41763.0,444199.23,2354.21
402,20240412,5406.73,2844.65,3544.7,2567.01,3742.5,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.14,0.12,1.0,345.0,7395800.01,4494.33
1480,20240412,3344.04,7357.88,9054.12,2401.0,21208.89,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.19,0.2,1.0,3245.0,7395800.01,4494.33
50027,20240412,38877.09,8689.06,16317.6,5262.03,13279.26,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.14,0.12,1.0,1476.0,1100768.26,3189.49
164906,20240412,7802.83,27160.65,50287.52,2401.0,57674.62,混合型,中等,"医药生物-20%,电子-15%",平衡型,高,0.17,0.18,1.0,3245.0,1237317.51,6451.54
100050,20240412,5665.55,2511.12,3488.19,2579.02,3665.5,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.23,0.19,1.0,3245.0,1100768.25,3189.49
86,20240412,6827.89,1349.98,10307.32,5596.87,8289.77,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.14,0.17,1.0,295.0,1100768.26,3189.49
1016,20240412,2949.47,3338.89,5269.8,2401.0,5834.94,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.16,0.17,1.0,41763.0,5960012.01,2374.15
530028,20240412,27955.15,31675.99,14242.82,5044.45,10434.48,混合型,中等,"金融-30%,信息技术-20%,医疗保健-15%",平衡型,高,0.13,0.12,1.0,1476.0,1100768.26,3189.49
1407,20240412,1350.09,1350.81,2423.61,2401.0,2432.79,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.17,0.16,1.0,295.0,7395800.05,4494.33
965,20240412,1515.04,1591.01,2579.73,2401.0,2937.88,混合型,中等,"金融-30%,科技-25%",平衡型,高,0.16,0.15,1.0,295.0,7395800.01,4494.33
385,20240412,3661.52,3495.58,2627.76,2422.9,2897.62,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.14,0.14,1.0,345.0,36311920.1,3019.57
192,20240412,21412.26,4149.42,4495.55,2689.93,5017.6,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.15,0.13,1.0,383.0,1100768.26,3189.49
164402,20240412,9758.69,7578.88,16466.65,2401.0,46499.66,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.18,0.18,1.0,345.0,444199.23,2354.3
168204,20240412,17466.45,17897.81,17064.29,2401.0,49218.69,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.16,0.14,1.0,1476.0,1100768.26,3189.49
166016,20240412,17968.97,1408.2,2591.03,2428.55,2919.52,混合型,中等,"金融-30%,信息技术-20%,医疗保健-15%",平衡型,高,0.2,0.15,1.0,1476.0,444199.32,2354.3
1338,20240412,7665.03,8187.37,7121.34,3381.52,7808.69,混合型,中等,"科技-30%,医疗健康-25%,新能源-20%",成长型,高,0.17,0.16,1.0,3245.0,1109267.1,11943.74
161024,20240412,5401.23,5443.36,11778.81,2401.0,25919.34,混合型,中等,"金融-30%,科技-25%,消费-20%,医疗-15%,其他-10%",平衡型,高,0.16,0.19,1.0,3245.0,444199.23,2354.3
1316,20240412,8291.29,7574.75,9049.18,3413.31,8501.7,混合型,中等,"医药生物-20%,电子-15%,计算机-10%",成长型,高,0.15,0.15,1.0,1476.0,1817698.98,16877.88
160717,20240412,1513.08,1467.69,3347.61,2401.0,3313.7,混合型,中等,"金融-30%,科技-25%,消费-20%,医疗-15%",平衡型,高,0.15,0.16,1.0,278.0,10911405.1,3326.29
161028,20240413,2747.28,5724.59,33937.99,2401.0,34744.73,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.02,0.02,0.0,6644.0,444199.23,2354.21
402,20240413,2341.75,1588.54,3144.16,2535.22,2959.08,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.08,0.09,0.0,137.0,7395800.01,4494.33
1480,20240413,1887.4,2044.67,5847.65,2401.0,7490.8,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.04,0.03,0.0,624.0,7395800.01,4494.33
50027,20240413,44689.73,4458.97,12994.57,4748.45,7524.0,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.07,0.07,0.0,377.0,1100768.26,3189.49
164906,20240413,1463.36,6457.05,26310.0,2401.0,17981.94,混合型,中等,"医药生物-20%,电子-15%",平衡型,高,0.04,0.03,0.0,624.0,1237317.51,6451.54
100050,20240413,1887.78,1932.11,3006.41,2487.18,2947.07,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.04,0.07,0.0,624.0,1100768.25,3189.49
86,20240413,6379.67,1349.98,8069.36,4838.17,4908.81,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.1,0.09,0.0,169.0,1100768.26,3189.49
1016,20240413,1590.58,2546.47,4032.84,2401.0,3346.9,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.06,0.05,0.0,6644.0,5960012.01,2374.15
530028,20240413,17581.42,18722.0,11426.3,4718.08,5669.63,混合型,中等,"金融-30%,信息技术-20%,医疗保健-15%",平衡型,高,0.05,0.07,0.0,377.0,1100768.26,3189.49
1407,20240413,1350.14,1349.98,2411.6,2403.12,2415.13,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.08,0.08,0.0,169.0,7395800.05,4494.33
965,20240413,1409.59,1506.76,2506.26,2401.0,2552.18,混合型,中等,"金融-30%,科技-25%",平衡型,高,0.09,0.1,0.0,169.0,7395800.01,4494.33
385,20240413,2865.68,2263.68,2572.66,2422.9,2588.2,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.09,0.09,0.0,137.0,36311920.1,3019.57
192,20240413,7372.61,2646.57,3743.92,2612.22,3338.43,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.05,0.06,0.0,291.0,1100768.26,3189.49
164402,20240413,1553.28,2162.06,9456.08,2401.0,13792.12,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.04,0.03,0.0,137.0,444199.23,2354.3
168204,20240413,4098.69,3774.99,11033.53,2401.0,17453.53,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.04,0.04,0.0,377.0,1100768.26,3189.49
166016,20240413,3436.4,1405.16,2507.67,2421.49,2696.99,混合型,中等,"金融-30%,信息技术-20%,医疗保健-15%",平衡型,高,0.03,0.02,0.0,377.0,444199.32,2354.3
1338,20240413,2361.14,3934.65,5316.42,2998.64,4259.61,混合型,中等,"科技-30%,医疗健康-25%,新能源-20%",成长型,高,0.05,0.05,0.0,624.0,1109267.1,11943.74
161024,20240413,1478.58,2914.1,7265.45,2401.0,8580.11,混合型,中等,"金融-30%,科技-25%,消费-20%,医疗-15%,其他-10%",平衡型,高,0.05,0.04,0.0,624.0,444199.23,2354.3
1316,20240413,3145.54,3205.78,6575.98,3023.36,4557.01,混合型,中等,"医药生物-20%,电子-15%,计算机-10%",成长型,高,0.06,0.06,0.0,377.0,1817698.98,16877.88
160717,20240413,1353.01,1453.47,2876.42,2401.0,2651.78,混合型,中等,"金融-30%,科技-25%,消费-20%,医疗-15%",平衡型,高,0.1,0.08,0.0,165.0,10911405.1,3326.29
161028,20240414,1927.81,5283.89,18209.41,2401.0,19079.02,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.02,0.02,0.0,4180.0,444199.23,2354.21
402,20240414,2071.76,3042.85,2802.25,2475.17,2721.01,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.08,0.09,0.0,182.0,7395800.01,4494.33
1480,20240414,1463.0,1496.05,3832.22,2401.0,4643.2,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.04,0.03,0.0,438.0,7395800.01,4494.33
50027,20240414,27768.1,6474.76,7529.65,3624.53,5324.19,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.06,0.06,0.0,313.0,1100768.26,3189.49
164906,20240414,1827.94,3417.81,14956.31,2401.0,10113.76,混合型,中等,"医药生物-20%,电子-15%",平衡型,高,0.03,0.02,0.0,438.0,1237317.51,6451.54
100050,20240414,1648.66,1395.91,2777.53,2445.5,2684.98,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.04,0.07,0.0,438.0,1100768.25,3189.49
86,20240414,4967.77,1349.98,5403.31,3781.36,3777.12,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.09,0.07,0.0,155.0,1100768.26,3189.49
1016,20240414,1528.41,2366.83,3410.48,2401.0,2905.39,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.06,0.05,0.0,4180.0,5960012.01,2374.15
530028,20240414,13031.6,11859.36,6928.49,3719.9,4198.15,混合型,中等,"金融-30%,信息技术-20%,医疗保健-15%",平衡型,高,0.05,0.05,0.0,313.0,1100768.26,3189.49
1407,20240414,1351.06,1349.98,2411.6,2401.71,2411.6,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.08,0.08,0.0,155.0,7395800.05,4494.33
965,20240414,1381.43,1479.73,2453.98,2401.0,2476.59,混合型,中等,"金融-30%,科技-25%",平衡型,高,0.07,0.09,0.0,155.0,7395800.01,4494.33
385,20240414,2093.32,2099.42,2478.0,2409.48,2497.07,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.08,0.08,0.0,182.0,36311920.1,3019.57
192,20240414,3588.85,2254.79,3023.36,2511.2,2866.53,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.05,0.05,0.0,278.0,1100768.26,3189.49
164402,20240414,1627.35,2300.89,5667.52,2401.0,8118.11,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.04,0.03,0.0,182.0,444199.23,2354.3
168204,20240414,2626.2,2538.5,6795.68,2401.0,10370.9,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.04,0.03,0.0,313.0,1100768.26,3189.49
166016,20240414,2912.64,1355.73,2479.41,2413.72,2607.28,混合型,中等,"金融-30%,信息技术-20%,医疗保健-15%",平衡型,高,0.02,0.02,0.0,313.0,444199.32,2354.3
1338,20240414,2806.71,2265.06,4054.04,2759.86,3440.15,混合型,中等,"科技-30%,医疗健康-25%,新能源-20%",成长型,高,0.04,0.04,0.0,438.0,1109267.1,11943.74
161024,20240414,1616.71,1779.21,4736.45,2401.0,5671.05,混合型,中等,"金融-30%,科技-25%,消费-20%,医疗-15%,其他-10%",平衡型,高,0.04,0.03,0.0,438.0,444199.23,2354.3
1316,20240414,4286.22,3087.32,4494.14,2796.6,3535.52,混合型,中等,"医药生物-20%,电子-15%,计算机-10%",成长型,高,0.06,0.05,0.0,313.0,1817698.98,16877.88
160717,20240414,1349.98,1350.41,2657.43,2401.0,2540.17,混合型,中等,"金融-30%,科技-25%,消费-20%,医疗-15%",平衡型,高,0.09,0.07,0.0,183.0,10911405.1,3326.29
161028,20240415,18639.36,23913.37,68911.74,2401.0,149648.49,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.22,0.18,1.0,61630.0,436463.89,2366.96
402,20240415,6199.04,2045.38,3557.42,2558.53,3923.35,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.18,0.17,1.0,422.0,8081132.01,4535.15
1480,20240415,4321.48,4231.52,9894.06,2401.0,25794.31,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.17,0.16,1.0,4303.0,8081132.01,4535.15
50027,20240415,80997.55,25341.53,18294.88,5894.98,14638.42,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.17,0.22,1.0,2351.0,1769958.01,3282.74
164906,20240415,10428.61,23426.79,52117.87,2401.0,71242.24,混合型,中等,"医药生物-20%,电子-15%",平衡型,高,0.19,0.19,1.0,4303.0,1561801.89,6498.07
100050,20240415,3240.61,7969.25,3442.27,2535.93,3755.93,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.15,0.17,1.0,4303.0,1769958.0,3282.74
86,20240415,12282.82,1349.98,9601.6,5257.08,8652.87,混合型,中等,"金融-30%,科技-25%,消费-20%",平衡型,高,0.15,0.14,1.0,326.0,1769958.01,3282.74
